community,station,distance_score,response_score,price_score,satisfaction,elderly_total
A,D,0.6,0.6,1.0,0.8,786.1055318783999
B,D,0.9,0.6,1.0000000000000002,0.8600000000000001,671.2811283455999
C,C,1.0,0.6,1.0,0.88,1015.7543389439998
D,D,1.0,0.6,1.0,0.88,600.6199569408
E,G,0.9,0.6,1.0,0.86,865.5993497087999
F,G,0.9,0.6,1.0,0.86,521.1261391103999
G,G,1.0,0.6,1.0,0.88,953.9258139647998
H,D,1.0,0.6,0.9999999999999999,0.8799999999999999,627.1178962175999
I,G,0.9,0.6,1.0,0.86,812.6034711551998
J,D,0.9,0.6,1.0,0.86,724.2770068992
