community,station,distance_m,daily_demand,distance_score,response_score,price_score,satisfaction,effective_daily_demand,covered
A,J,500.0,864.6265662917383,0.9,0.6,1.0,0.86,743.578847010895,1
B,J,300.0,719.1457824559028,1.0,0.6,1.0,0.88,632.8482885611945,1
C,C,0.0,1153.814830259393,1.0,0.6,1.0,0.88,1015.3570506282658,1
D,J,400.0,620.8727081818305,0.9,0.6,1.0,0.86,533.9505290363742,1
E,I,500.0,964.7349775281957,0.9,0.6,1.0,0.86,829.6720806742483,1
F,I,700.0,516.7601438764485,0.6,0.6,1.0,0.8,413.40811510115884,1
G,I,400.0,1070.2186577446944,0.9,0.6,1.0,0.86,920.3880456604371,1
H,J,300.0,654.9955094601427,1.0,0.6,1.0,0.88,576.3960483249256,1
I,I,0.0,891.8092274992009,1.0,0.6,1.0,0.88,784.7921201992968,1
J,J,0.0,779.6942729326695,1.0,0.6,1.0,0.88,686.1309601807492,1
