station,service,base_price,optimized_price,price_satisfaction
A,助餐,10.0,10.0,1.0
A,日间照料,20.0,20.0,1.0
A,上门护理,30.0,18.0,1.0
A,康复理疗,28.0,22.4,1.0
A,助浴,25.0,17.5,1.0
A,紧急救助,0.0,0.0,1.0
F,助餐,10.0,10.0,1.0
F,日间照料,20.0,20.0,1.0
F,上门护理,30.0,18.0,1.0
F,康复理疗,28.0,16.8,1.0
F,助浴,25.0,15.0,1.0
F,紧急救助,0.0,0.0,1.0
H,助餐,10.0,9.0,1.0
H,日间照料,20.0,20.0,1.0
H,上门护理,30.0,18.0,1.0
H,康复理疗,28.0,16.8,1.0
H,助浴,25.0,15.0,1.0
H,紧急救助,0.0,0.0,1.0
I,助餐,10.0,6.0,1.0
I,日间照料,20.0,12.0,1.0
I,上门护理,30.0,18.0,1.0
I,康复理疗,28.0,16.8,1.0
I,助浴,25.0,15.0,1.0
I,紧急救助,0.0,0.0,1.0
