community,station,distance_score,response_score,price_score,satisfaction,elderly_total
A,B,0.75,0.6,1.0,0.866,786.1055318783999
B,B,1.0,0.6,1.0000000000000002,0.9160000000000001,671.2811283455999
C,C,1.0,0.6,1.0,0.88,1015.7543389439998
D,B,0.9,0.6,1.0,0.896,600.6199569408
E,I,0.9,0.6,1.0,0.86,865.5993497087999
F,I,0.6,0.6,1.0,0.8,521.1261391103999
G,I,0.9,0.6,1.0,0.86,953.9258139647998
H,B,0.9,0.6,0.9999999999999999,0.8959999999999999,627.1178962175999
I,I,1.0,0.6,1.0,0.88,812.6034711551998
J,B,1.0,0.6,1.0,0.916,724.2770068992
