community,station,distance_m,daily_demand,distance_score,response_score,price_score,satisfaction,effective_daily_demand,covered
A,A,0.0,864.6265662917383,1.0,0.6,1.0,0.88,760.8713783367297,1
B,A,600.0,719.1457824559028,0.75,0.6,1.0,0.8300000000000001,596.8909994383994,1
C,,,1153.814830259393,0.0,0.0,0.0,0.0,0.0,0
D,A,900.0,620.8727081818305,0.6,0.6,1.0,0.8,496.6981665454644,1
E,,,964.7349775281957,0.0,0.0,0.0,0.0,0.0,0
F,,,516.7601438764485,0.0,0.0,0.0,0.0,0.0,0
G,,,1070.2186577446944,0.0,0.0,0.0,0.0,0.0,0
H,A,700.0,654.9955094601427,0.6,0.6,1.0,0.8,523.9964075681141,1
I,,,891.8092274992009,0.0,0.0,0.0,0.0,0.0,0
J,A,500.0,779.6942729326695,0.9,0.6,1.0,0.86,670.5370747220958,1
