community,station,distance_m,daily_demand,distance_score,response_score,price_score,satisfaction,effective_daily_demand,covered
A,B,600.0,898.5561904262673,0.75,0.6,1.0,0.8300000000000001,745.801638053802,1
B,B,0.0,747.8797104595202,1.0,0.6,1.0,0.88,658.1341452043778,1
C,C,0.0,1197.7296143932924,1.0,0.6,1.0,0.88,1054.0020606660973,1
D,D,0.0,646.3667513818247,1.0,0.6,1.0,0.88,568.8027412160058,1
E,C,600.0,1002.1112681780321,0.75,0.6,1.0,0.8300000000000001,831.7523525877667,1
F,C,900.0,538.6932050736302,0.6,0.6,1.0,0.8,430.9545640589042,1
G,C,500.0,1111.426026423048,0.9,0.6,1.0,0.86,955.8263827238212,1
H,D,300.0,681.7266686618293,1.0,0.6,1.0,0.88,599.9194684224098,1
I,D,500.0,926.8679198350148,0.9,0.6,1.0,0.86,797.1064110581127,1
J,B,300.0,810.8264585385275,1.0,0.6,1.0,0.88,713.5272835139042,1
