community,station,distance_m,daily_demand,distance_score,response_score,price_score,satisfaction,effective_daily_demand,covered
A,H,700.0,879.7188157806432,0.6,0.6,1.0,0.8,703.7750526245146,1
B,H,400.0,730.1371870214558,0.9,0.6,1.0,0.86,627.917980838452,1
C,C,0.0,1173.1886321248464,1.0,0.6,1.0,0.88,1032.4059962698648,1
D,H,300.0,629.3777527955305,1.0,0.6,1.0,0.88,553.8524224600668,1
E,I,500.0,981.097303161971,0.9,0.6,1.0,0.86,843.7436807192951,1
F,I,700.0,523.0651722962409,0.6,0.6,1.0,0.8,418.45213783699273,1
G,I,400.0,1088.325740020162,0.9,0.6,1.0,0.86,935.9601364173392,1
H,H,0.0,664.7589597868904,1.0,0.6,1.0,0.88,584.9878846124635,1
I,I,0.0,907.1278381139148,1.0,0.6,1.0,0.88,798.272497540245,1
J,H,300.0,792.770606238881,1.0,0.6,1.0,0.88,697.6381334902153,1
