community,station,distance_score,response_score,price_score,satisfaction,elderly_total
A,H,0.6,0.6,1.0,0.8,786.1055318783999
B,H,0.9,0.6,1.0,0.86,671.2811283455999
C,C,1.0,0.6,1.0,0.88,1015.7543389439995
D,H,1.0,0.6,0.9999999999999999,0.8799999999999999,600.6199569407997
E,I,0.9,0.6,1.0,0.86,865.5993497087998
F,I,0.6,0.6,0.9999999999999999,0.7999999999999999,521.1261391104
G,I,0.9,0.6,1.0,0.86,953.9258139648
H,H,1.0,0.6,1.0,0.88,627.1178962175999
I,I,1.0,0.6,1.0,0.88,812.6034711551998
J,H,1.0,0.6,0.9999999999999998,0.8799999999999999,724.2770068992
