community,station,distance_m,daily_demand,distance_score,response_score,price_score,satisfaction,effective_daily_demand,covered
A,D,900.0,864.6265662917383,0.6,0.6,1.0,0.8,691.7012530333907,1
B,D,500.0,719.1457824559028,0.9,0.6,1.0,0.86,618.4653729120764,1
C,C,0.0,1153.814830259393,1.0,0.6,1.0,0.88,1015.3570506282658,1
D,D,0.0,620.8727081818305,1.0,0.6,1.0,0.88,546.3679832000108,1
E,G,400.0,964.7349775281957,0.9,0.6,1.0,0.86,829.6720806742483,1
F,G,500.0,516.7601438764485,0.9,0.6,1.0,0.86,444.4137237337457,1
G,G,0.0,1070.2186577446944,1.0,0.6,1.0,0.88,941.7924188153311,1
H,D,300.0,654.9955094601427,1.0,0.6,1.0,0.88,576.3960483249256,1
I,G,400.0,891.8092274992009,0.9,0.6,1.0,0.86,766.9559356493128,1
J,D,400.0,779.6942729326695,0.9,0.6,1.0,0.86,670.5370747220958,1
