community,station,distance_score,response_score,price_score,satisfaction,elderly_total
A,A,1.0,0.6,1.0,0.88,786.1055318783999
B,A,0.75,0.6,1.0000000000000002,0.8300000000000001,671.2811283455999
C,,0.0,0.0,0.0,0.0,1015.7543389439998
D,A,0.6,0.6,1.0,0.8,600.6199569408
E,,0.0,0.0,0.0,0.0,865.5993497087999
F,,0.0,0.0,0.0,0.0,521.1261391103999
G,,0.0,0.0,0.0,0.0,953.9258139647998
H,A,0.6,0.6,0.9999999999999999,0.7999999999999999,627.1178962175999
I,,0.0,0.0,0.0,0.0,812.6034711551998
J,A,0.9,0.6,1.0,0.86,724.2770068992
