community,station,distance_m,daily_demand,distance_score,response_score,price_score,satisfaction,effective_daily_demand,covered
A,A,0.0,864.6265662917383,1.0,0.85,1.0,0.9550000000000001,825.7183708086102,1
B,H,400.0,719.1457824559028,0.9,0.6,1.0,0.98,704.7628668067847,1
C,H,900.0,1153.814830259393,0.6,0.6,1.0,0.9199999999999999,1061.5096438386413,1
D,H,300.0,620.8727081818305,1.0,0.6,1.0,1.0,620.8727081818305,1
E,F,500.0,964.7349775281957,0.9,0.85,1.0,0.98,945.4402779776318,1
F,F,0.0,516.7601438764485,1.0,0.85,1.0,1.0,516.7601438764485,1
G,F,500.0,1070.2186577446944,0.9,0.85,1.0,0.98,1048.8142845898005,1
H,H,0.0,654.9955094601427,1.0,0.6,1.0,1.0,654.9955094601427,1
I,H,600.0,891.8092274992009,0.75,0.6,1.0,0.95,847.2187661242408,1
J,H,300.0,779.6942729326695,1.0,0.6,1.0,1.0,779.6942729326695,1
