community,station,distance_score,response_score,price_score,satisfaction,elderly_total
A,A,1.0,0.72,1.0,0.9550000000000001,786.1055318783999
B,H,0.9,0.6,1.0,0.98,671.2811283455999
C,H,0.6,0.6,1.0,0.9199999999999999,1015.7543389439998
D,H,1.0,0.6,1.0000000000000002,1.0,600.6199569408
E,F,0.9,0.72,1.0,0.98,865.5993497087999
F,F,1.0,0.72,1.0,1.0,521.1261391103999
G,F,0.9,0.72,1.0,0.98,953.9258139647998
H,H,1.0,0.6,1.0,1.0,627.1178962175999
I,H,0.75,0.6,1.0,0.95,812.6034711551998
J,H,1.0,0.6,1.0,1.0,724.2770068992
