scenario,station,service,base_price,optimized_price,price_satisfaction
baseline,C,助餐,10.0,6.0,1.0
baseline,C,日间照料,20.0,20.0,1.0
baseline,C,上门护理,30.0,30.0,1.0
baseline,C,康复理疗,28.0,28.0,1.0
baseline,C,助浴,25.0,25.0,1.0
baseline,C,紧急救助,0.0,0.0,1.0
baseline,E,助餐,10.0,6.0,1.0
baseline,E,日间照料,20.0,20.0,1.0
baseline,E,上门护理,30.0,30.0,1.0
baseline,E,康复理疗,28.0,28.0,1.0
baseline,E,助浴,25.0,25.0,1.0
baseline,E,紧急救助,0.0,0.0,1.0
baseline,G,助餐,10.0,8.0,1.0
baseline,G,日间照料,20.0,20.0,1.0
baseline,G,上门护理,30.0,24.0,1.0
baseline,G,康复理疗,28.0,28.0,1.0
baseline,G,助浴,25.0,15.0,1.0
baseline,G,紧急救助,0.0,0.0,1.0
baseline,I,助餐,10.0,8.0,1.0
baseline,I,日间照料,20.0,20.0,1.0
baseline,I,上门护理,30.0,24.0,1.0
baseline,I,康复理疗,28.0,28.0,1.0
baseline,I,助浴,25.0,25.0,1.0
baseline,I,紧急救助,0.0,0.0,1.0
baseline,J,助餐,10.0,10.0,1.0
baseline,J,日间照料,20.0,16.0,1.0
baseline,J,上门护理,30.0,30.0,1.0
baseline,J,康复理疗,28.0,16.8,1.0
baseline,J,助浴,25.0,20.0,1.0
baseline,J,紧急救助,0.0,0.0,1.0
