scenario,station,service,base_price,optimized_price,price_satisfaction
budget_140,A,助餐,10.0,10.0,1.0
budget_140,A,日间照料,20.0,20.0,1.0
budget_140,A,上门护理,30.0,18.0,1.0
budget_140,A,康复理疗,28.0,22.4,1.0
budget_140,A,助浴,25.0,15.0,1.0
budget_140,A,紧急救助,0.0,0.0,1.0
budget_140,B,助餐,10.0,8.0,1.0
budget_140,B,日间照料,20.0,16.0,1.0
budget_140,B,上门护理,30.0,30.0,1.0
budget_140,B,康复理疗,28.0,28.0,1.0
budget_140,B,助浴,25.0,20.0,1.0
budget_140,B,紧急救助,0.0,0.0,1.0
budget_140,G,助餐,10.0,8.0,1.0
budget_140,G,日间照料,20.0,16.0,1.0
budget_140,G,上门护理,30.0,30.0,1.0
budget_140,G,康复理疗,28.0,28.0,1.0
budget_140,G,助浴,25.0,20.0,1.0
budget_140,G,紧急救助,0.0,0.0,1.0
budget_140,I,助餐,10.0,8.0,1.0
budget_140,I,日间照料,20.0,16.0,1.0
budget_140,I,上门护理,30.0,30.0,1.0
budget_140,I,康复理疗,28.0,28.0,1.0
budget_140,I,助浴,25.0,25.0,1.0
budget_140,I,紧急救助,0.0,0.0,1.0
