scenario,community,daily_demand,served_daily_demand,unserved_daily_demand,capacity_fulfillment_rate,effective_daily_demand,served_weighted_satisfaction,actual_stations,spatially_covered,dominant_station,dominant_distance_m,dominant_distance_score,dominant_satisfaction
baseline,A,864.6265662917383,691.7012530333907,172.92531325834761,0.8,594.863077608716,0.8600000000000001,J,1,J,500.0,0.9,0.86
baseline,B,719.1457824559028,719.1457824559028,0.0,1.0,632.8482885611945,0.8800000000000001,J,1,J,300.0,1.0,0.88
baseline,C,1153.814830259393,1000.0,153.81483025939292,0.8666901947994434,880.0,0.88,C,1,C,0.0,1.0,0.88
baseline,D,620.8727081818305,496.6981665454644,124.17454163636609,0.8,427.16042322909937,0.86,"I,J",1,J,400.0,0.9,0.86
baseline,E,964.7349775281957,771.7879820225567,192.94699550563905,0.8,678.3460037134604,0.8789279174000337,"E,I",1,E,0.0,1.0,0.88
baseline,F,516.7601438764485,413.40811510115884,103.35202877528968,0.8,355.5309789869966,0.86,"E,G",1,E,500.0,0.9,0.86
baseline,G,1070.2186577446944,856.1749261957556,214.0437315489388,0.8,753.4339350522649,0.88,G,1,G,0.0,1.0,0.88
baseline,H,654.9955094601427,654.9955094601427,0.0,1.0,576.3960483249256,0.88,J,1,J,300.0,1.0,0.88
baseline,I,891.8092274992009,713.4473819993608,178.36184549984011,0.8,627.8336961594375,0.88,I,1,I,0.0,1.0,0.88
baseline,J,779.6942729326695,682.6408831862677,97.05338974640176,0.875523787828588,600.7239772039156,0.88,J,1,J,0.0,1.0,0.88
elderly_growth_8pct,A,898.5561904262673,718.8449523410139,179.7112380852534,0.8,618.206659013272,0.86,J,1,J,500.0,0.9,0.86
elderly_growth_8pct,B,747.8797104595202,706.7404091854605,41.139301274059676,0.9449920880340738,621.9315600832052,0.88,J,1,J,300.0,1.0,0.88
elderly_growth_8pct,C,1197.7296143932924,1000.0,197.72961439329242,0.8349129786746969,880.0,0.88,C,1,C,0.0,1.0,0.88
elderly_growth_8pct,D,646.3667513818247,517.0934011054597,129.2733502763649,0.8,444.7003249506954,0.86,"I,J",1,J,400.0,0.9,0.86
elderly_growth_8pct,E,1002.1112681780321,801.6890145424258,200.42225363560635,0.8,703.0506448025393,0.8769618044520847,"E,I",1,E,0.0,1.0,0.88
elderly_growth_8pct,F,538.6932050736302,430.9545640589042,107.738641014726,0.8,370.6209250906576,0.8599999999999999,"E,G",1,E,500.0,0.9,0.86
elderly_growth_8pct,G,1111.426026423048,889.1408211384384,222.28520528460956,0.8,782.4439226018258,0.88,G,1,G,0.0,1.0,0.88
elderly_growth_8pct,H,681.7266686618293,545.3813349294635,136.34533373236582,0.8,479.9355747379279,0.88,J,1,J,300.0,1.0,0.88
elderly_growth_8pct,I,926.8679198350148,741.494335868012,185.3735839670029,0.8,652.5150155638505,0.88,I,1,I,0.0,1.0,0.88
elderly_growth_8pct,J,810.8264585385275,648.661166830822,162.16529170770548,0.8,570.8218268111234,0.88,J,1,J,0.0,1.0,0.88
transition_up,A,879.7188157806432,703.7750526245146,175.94376315612863,0.8,605.2465452570825,0.8599999999999999,J,1,J,500.0,0.9,0.86
transition_up,B,730.1371870214558,730.1371870214558,0.0,1.0,642.5207245788811,0.8799999999999999,J,1,J,300.0,1.0,0.88
transition_up,C,1173.1886321248464,1000.0,173.18863212484644,0.8523778466799733,880.0,0.88,C,1,C,0.0,1.0,0.88
transition_up,D,629.3777527955305,503.5022022364244,125.87555055910605,0.8,433.01189392332503,0.8600000000000001,"I,J",1,J,400.0,0.9,0.86
transition_up,E,981.097303161971,784.8778425295768,196.2194606323942,0.8,689.2126899783736,0.8781145964792627,"E,I",1,E,0.0,1.0,0.88
transition_up,F,523.0651722962409,418.45213783699273,104.61303445924818,0.8,359.86883853981374,0.86,"E,G",1,E,500.0,0.9,0.86
transition_up,G,1088.325740020162,870.6605920161296,217.6651480040323,0.8,766.181320974194,0.88,G,1,G,0.0,1.0,0.88
transition_up,H,664.7589597868904,628.6762302526695,36.0827295342209,0.9457205818695721,553.2350826223492,0.88,J,1,J,300.0,1.0,0.88
transition_up,I,907.1278381139148,725.7022704911319,181.42556762278286,0.8000000000000002,638.617998032196,0.88,I,1,I,0.0,1.0,0.88
transition_up,J,792.770606238881,634.2164849911048,158.55412124777615,0.8,558.1105067921723,0.88,J,1,J,0.0,1.0,0.88
fixed_cost_up_20pct,A,864.6265662917383,691.7012530333907,172.92531325834761,0.8,594.863077608716,0.8600000000000001,J,1,J,500.0,0.9,0.86
fixed_cost_up_20pct,B,719.1457824559028,719.1457824559028,0.0,1.0,632.8482885611945,0.8800000000000001,J,1,J,300.0,1.0,0.88
fixed_cost_up_20pct,C,1153.814830259393,1000.0,153.81483025939292,0.8666901947994434,880.0,0.88,C,1,C,0.0,1.0,0.88
fixed_cost_up_20pct,D,620.8727081818305,496.6981665454644,124.17454163636609,0.8,427.16042322909937,0.86,"I,J",1,J,400.0,0.9,0.86
fixed_cost_up_20pct,E,964.7349775281957,771.7879820225567,192.94699550563905,0.8,678.3460037134604,0.8789279174000337,"E,I",1,E,0.0,1.0,0.88
fixed_cost_up_20pct,F,516.7601438764485,413.40811510115884,103.35202877528968,0.8,355.5309789869966,0.86,"E,G",1,E,500.0,0.9,0.86
fixed_cost_up_20pct,G,1070.2186577446944,856.1749261957556,214.0437315489388,0.8,753.4339350522649,0.88,G,1,G,0.0,1.0,0.88
fixed_cost_up_20pct,H,654.9955094601427,654.9955094601427,0.0,1.0,576.3960483249256,0.88,J,1,J,300.0,1.0,0.88
fixed_cost_up_20pct,I,891.8092274992009,713.4473819993608,178.36184549984011,0.8,627.8336961594375,0.88,I,1,I,0.0,1.0,0.88
fixed_cost_up_20pct,J,779.6942729326695,682.6408831862677,97.05338974640176,0.875523787828588,600.7239772039156,0.88,J,1,J,0.0,1.0,0.88
budget_140,A,864.6265662917383,864.6265662917383,0.0,1.0,791.9979347232323,0.916,A,1,A,0.0,1.0,0.916
budget_140,B,719.1457824559028,719.1457824559028,0.0,1.0,658.737536729607,0.916,B,1,B,0.0,1.0,0.916
budget_140,C,1153.814830259393,1153.814830259393,0.0,1.0,1033.818087912416,0.896,G,1,G,500.0,0.9,0.896
budget_140,D,620.8727081818305,620.8727081818305,0.0,1.0,556.3019465309201,0.8959999999999999,B,1,B,500.0,0.9,0.896
budget_140,E,964.7349775281957,964.7349775281957,0.0,1.0,864.4025398652634,0.896,I,1,I,500.0,0.9,0.896
budget_140,F,516.7601438764485,516.7601438764485,0.0,1.0,463.01708891329787,0.896,G,1,G,500.0,0.9,0.896
budget_140,G,1070.2186577446944,1070.2186577446944,0.0,1.0,980.3202904941401,0.916,G,1,G,0.0,1.0,0.916
budget_140,H,654.9955094601427,654.9955094601427,0.0,1.0,586.8759764762879,0.896,B,1,B,400.0,0.9,0.896
