scenario,station,latent_demand_release_index,unserved_released_monthly_demand
baseline,C,1.0,472.77032103991587
baseline,E,0.3522199154517102,6557.954261910341
baseline,G,1.0,0.0
baseline,I,0.48240750075612776,0.0
baseline,J,0.6161907792253891,12362.012106985887
elderly_growth_8pct,C,1.0,456.47422896150965
elderly_growth_8pct,E,0.5701624169461138,8611.01358543184
elderly_growth_8pct,G,0.9790742793791549,0.0
elderly_growth_8pct,I,0.46407285876916704,0.0
elderly_growth_8pct,J,0.5481096075022434,8231.90262654757
transition_up,C,1.0,466.9363574151721
transition_up,E,0.35612405646608236,7146.835841494634
transition_up,G,1.0,0.0
transition_up,I,0.7827369080859247,0.0
transition_up,J,0.7388307790644029,11999.848742196977
fixed_cost_up_20pct,C,1.0,472.77032103991587
fixed_cost_up_20pct,E,0.29450472321242116,6393.753607825776
fixed_cost_up_20pct,G,0.6305604982206447,0.0
fixed_cost_up_20pct,I,0.4350141809030471,0.0
fixed_cost_up_20pct,J,0.4594963512713491,11088.86627259264
budget_140,A,1.0,0.0
budget_140,B,0.526879651192177,0.0
budget_140,G,0.6327894274718285,0.0
budget_140,I,0.5806505382448053,0.0
