scenario,station,scale,annual_revenue,annual_direct_cost,service_profit,annual_subsidy,annual_operating_cost,annual_profit_after_subsidy,profit_rate,pricing_feasible,utilization_after_pricing,response_score_after_pricing,weighted_price_satisfaction,effective_multiplier,raw_monthly_demand_after_pricing,served_monthly_demand_after_capacity,unserved_released_monthly_demand,latent_demand_release_index,price_combinations_evaluated
baseline,C,小型,5270825.45153728,4840422.237838936,430403.2136983443,365000.0,739000.0,56403.213698344305,0.07632369918585157,1,0.9999999999999999,0.6,1.0,0.86,30472.770321039912,29999.999999999996,472.77032103991587,1.0,3125
baseline,E,小型,5228936.948280995,4810754.994018317,418181.9542626776,365000.0,739000.0,44181.95426267758,0.05978613567344734,1,1.0000000000000004,0.6,1.0,0.86,36557.95426191035,30000.00000000001,6557.954261910341,0.3522199154517102,3125
baseline,G,小型,4701611.988040448,4273898.573915562,427713.4141248865,365000.0,739000.0,53713.414124886505,0.0726839162718356,1,0.8823789250301053,0.72,1.0,0.896,26471.36775090316,26471.36775090316,0.0,1.0,3125
baseline,I,小型,3959461.0197484614,3529013.899413811,430447.1203346504,365000.0,739000.0,56447.12033465039,0.07638311276677996,1,0.7315139025488225,0.93,1.0,0.9590000000000001,21945.417076464677,21945.417076464677,0.0,0.48240750075612776,3125
baseline,J,大型,15276173.588847525,14469198.692143649,806974.8967038766,949000.0,1628500.0,127474.89670387655,0.0782774926029331,1,1.0,0.6,1.0,0.86,102362.01210698589,90000.0,12362.012106985887,0.6161907792253891,3125
elderly_growth_8pct,C,小型,5248361.480530722,4824647.786775679,423713.69375504274,365000.0,739000.0,49713.69375504274,0.06727157477001725,1,1.0,0.6,1.0,0.86,30456.47422896151,30000.0,456.47422896150965,1.0,3125
elderly_growth_8pct,E,小型,5221792.955212316,4805766.335257944,416026.6199543718,365000.0,739000.0,42026.619954371825,0.056869580452465256,1,0.9999999999999999,0.6,1.0,0.86,38611.013585431836,29999.999999999996,8611.01358543184,0.5701624169461138,3125
elderly_growth_8pct,G,小型,4820628.988865168,4416314.869728054,404314.1191371139,365000.0,739000.0,30314.119137113914,0.04102045891355063,1,0.9148538656932431,0.72,1.0,0.896,27445.615970797295,27445.615970797295,0.0,0.9790742793791549,3125
elderly_growth_8pct,I,小型,4078204.247306052,3648877.720479142,429326.5268269102,365000.0,739000.0,55326.52682691021,0.0748667480743034,1,0.7589136712607456,0.85,1.0,0.935,22767.410137822368,22767.410137822368,0.0,0.46407285876916704,3125
elderly_growth_8pct,J,大型,15216289.67520033,14412385.602845984,803904.0723543465,949000.0,1628500.0,124404.07235434651,0.07639181599898466,1,0.9999999999999999,0.6,1.0,0.86,98231.90262654755,89999.99999999999,8231.90262654757,0.5481096075022434,3125
transition_up,C,小型,5290044.47626705,4859510.1743870685,430534.30187998153,365000.0,739000.0,56534.30187998153,0.07650108508793171,1,1.0000000000000002,0.6,1.0,0.86,30466.936357415176,30000.000000000004,466.9363574151721,1.0,3125
transition_up,E,小型,5258270.294424229,4830896.614463766,427373.6799604632,365000.0,739000.0,53373.679960463196,0.07222419480441569,1,1.0,0.6,1.0,0.86,37146.835841494634,30000.0,7146.835841494634,0.35612405646608236,3125
transition_up,G,小型,4794575.213356466,4361656.4505803175,432918.7627761485,365000.0,739000.0,58918.762776148506,0.07972768981887483,1,0.8969802847033467,0.72,1.0,0.896,26909.4085411004,26909.4085411004,0.0,1.0,3125
transition_up,I,小型,4091957.437638228,3665295.1576406355,426662.2799975923,365000.0,739000.0,52662.279997592326,0.07126154262191113,1,0.7551334302599139,0.85,1.0,0.935,22654.002907797418,22654.002907797418,0.0,0.7827369080859247,3125
transition_up,J,大型,15326146.79775541,14547447.6787728,778699.1189826112,949000.0,1628500.0,99199.11898261122,0.06091441141087579,1,0.9999999999999999,0.6,1.0,0.86,101999.84874219696,89999.99999999999,11999.848742196977,0.7388307790644029,3125
fixed_cost_up_20pct,C,小型,5427732.633924209,4840422.237838936,587310.3960852725,365000.0,885000.0,67310.39608527254,0.07605694472912151,1,0.9999999999999999,0.6,1.0,0.86,30472.770321039912,29999.999999999996,472.77032103991587,1.0,3125
fixed_cost_up_20pct,E,小型,5397321.889597104,4808477.856086691,588844.033510413,365000.0,885000.0,68844.03351041302,0.07778986837334805,1,1.0000000000000002,0.6,1.0,0.86,36393.75360782578,30000.000000000007,6393.753607825776,0.29450472321242116,3125
fixed_cost_up_20pct,G,小型,4803844.862306136,4220603.578418264,583241.2838878715,365000.0,885000.0,63241.28388787154,0.07145907783940288,1,0.8726981327561164,0.72,1.0,0.896,26180.94398268349,26180.94398268349,0.0,0.6305604982206447,3125
fixed_cost_up_20pct,I,小型,4072432.879897328,3519242.581854867,553190.2980424613,365000.0,885000.0,33190.298042461276,0.037503161629899744,1,0.7297389873874893,0.93,1.0,0.9590000000000001,21892.169621624682,21892.169621624682,0.0,0.4350141809030471,3125
fixed_cost_up_20pct,J,大型,15558087.653076852,14443902.912577981,1114184.7404988706,949000.0,1949700.0,113484.74049887061,0.058206257628799614,1,1.0000000000000002,0.6,1.0,0.86,101088.86627259266,90000.00000000001,11088.86627259264,0.4594963512713491,3125
budget_140,A,小型,4793897.667598443,4367040.202579677,426857.465018766,365000.0,739000.0,52857.465018766,0.07152566308358052,1,0.9031871019329748,0.72,1.0,0.896,27095.61305798924,27095.61305798924,0.0,1.0,3125
budget_140,B,大型,14822249.462514414,14031653.878462318,790595.5840520952,949000.0,1628500.0,111095.58405209519,0.06821957878544378,1,0.970939199662539,0.6,1.0,0.86,87384.52796962851,87384.52796962851,0.0,0.526879651192177,3125
budget_140,G,大型,14419339.922032356,13644300.736887123,775039.1851452328,949000.0,1628500.0,95539.18514523283,0.058666985044662466,1,0.9416035477793602,0.72,1.0,0.896,84744.31930014241,84744.31930014241,0.0,0.6327894274718285,3125
budget_140,I,中型,9821721.939128622,9203150.639912697,618571.2992159259,657000.0,1184000.0,91571.29921592586,0.07734062433777522,1,0.9525204424556891,0.6,1.0,0.86,57151.22654734135,57151.22654734135,0.0,0.5806505382448053,3125
