scenario,community,daily_demand,served_daily_demand,unserved_daily_demand,capacity_fulfillment_rate,effective_daily_demand,served_weighted_satisfaction,actual_stations,spatially_covered,dominant_station,dominant_distance_m,dominant_distance_score,dominant_satisfaction
elderly_growth_8pct,A,898.5561904262673,718.8449523410139,179.7112380852534,0.8,618.206659013272,0.86,J,1,J,500.0,0.9,0.86
elderly_growth_8pct,B,747.8797104595202,706.7404091854605,41.139301274059676,0.9449920880340738,621.9315600832052,0.88,J,1,J,300.0,1.0,0.88
elderly_growth_8pct,C,1197.7296143932924,1000.0,197.72961439329242,0.8349129786746969,880.0,0.88,C,1,C,0.0,1.0,0.88
elderly_growth_8pct,D,646.3667513818247,517.0934011054597,129.2733502763649,0.8,444.7003249506954,0.86,"I,J",1,J,400.0,0.9,0.86
elderly_growth_8pct,E,1002.1112681780321,801.6890145424258,200.42225363560635,0.8,703.0506448025393,0.8769618044520847,"E,I",1,E,0.0,1.0,0.88
elderly_growth_8pct,F,538.6932050736302,430.9545640589042,107.738641014726,0.8,370.6209250906576,0.8599999999999999,"E,G",1,E,500.0,0.9,0.86
elderly_growth_8pct,G,1111.426026423048,889.1408211384384,222.28520528460956,0.8,782.4439226018258,0.88,G,1,G,0.0,1.0,0.88
elderly_growth_8pct,H,681.7266686618293,545.3813349294635,136.34533373236582,0.8,479.9355747379279,0.88,J,1,J,300.0,1.0,0.88
elderly_growth_8pct,I,926.8679198350148,741.494335868012,185.3735839670029,0.8,652.5150155638505,0.88,I,1,I,0.0,1.0,0.88
elderly_growth_8pct,J,810.8264585385275,648.661166830822,162.16529170770548,0.8,570.8218268111234,0.88,J,1,J,0.0,1.0,0.88
