scenario,station,service,base_price,optimized_price,price_satisfaction
elderly_growth_8pct,C,助餐,10.0,6.0,1.0
elderly_growth_8pct,C,日间照料,20.0,20.0,1.0
elderly_growth_8pct,C,上门护理,30.0,30.0,1.0
elderly_growth_8pct,C,康复理疗,28.0,28.0,1.0
elderly_growth_8pct,C,助浴,25.0,25.0,1.0
elderly_growth_8pct,C,紧急救助,0.0,0.0,1.0
elderly_growth_8pct,E,助餐,10.0,8.0,1.0
elderly_growth_8pct,E,日间照料,20.0,20.0,1.0
elderly_growth_8pct,E,上门护理,30.0,24.0,1.0
elderly_growth_8pct,E,康复理疗,28.0,22.4,1.0
elderly_growth_8pct,E,助浴,25.0,25.0,1.0
elderly_growth_8pct,E,紧急救助,0.0,0.0,1.0
elderly_growth_8pct,G,助餐,10.0,10.0,1.0
elderly_growth_8pct,G,日间照料,20.0,16.0,1.0
elderly_growth_8pct,G,上门护理,30.0,30.0,1.0
elderly_growth_8pct,G,康复理疗,28.0,22.4,1.0
elderly_growth_8pct,G,助浴,25.0,20.0,1.0
elderly_growth_8pct,G,紧急救助,0.0,0.0,1.0
elderly_growth_8pct,I,助餐,10.0,10.0,1.0
elderly_growth_8pct,I,日间照料,20.0,16.0,1.0
elderly_growth_8pct,I,上门护理,30.0,30.0,1.0
elderly_growth_8pct,I,康复理疗,28.0,28.0,1.0
elderly_growth_8pct,I,助浴,25.0,15.0,1.0
elderly_growth_8pct,I,紧急救助,0.0,0.0,1.0
elderly_growth_8pct,J,助餐,10.0,8.0,1.0
elderly_growth_8pct,J,日间照料,20.0,16.0,1.0
elderly_growth_8pct,J,上门护理,30.0,30.0,1.0
elderly_growth_8pct,J,康复理疗,28.0,28.0,1.0
elderly_growth_8pct,J,助浴,25.0,20.0,1.0
elderly_growth_8pct,J,紧急救助,0.0,0.0,1.0
