scenario,community,daily_demand,served_daily_demand,unserved_daily_demand,capacity_fulfillment_rate,effective_daily_demand,served_weighted_satisfaction,actual_stations,spatially_covered,dominant_station,dominant_distance_m,dominant_distance_score,dominant_satisfaction
fixed_cost_up_20pct,A,864.6265662917383,691.7012530333907,172.92531325834761,0.8,594.863077608716,0.8600000000000001,J,1,J,500.0,0.9,0.86
fixed_cost_up_20pct,B,719.1457824559028,719.1457824559028,0.0,1.0,632.8482885611945,0.8800000000000001,J,1,J,300.0,1.0,0.88
fixed_cost_up_20pct,C,1153.814830259393,1000.0,153.81483025939292,0.8666901947994434,880.0,0.88,C,1,C,0.0,1.0,0.88
fixed_cost_up_20pct,D,620.8727081818305,496.6981665454644,124.17454163636609,0.8,427.16042322909937,0.86,"I,J",1,J,400.0,0.9,0.86
fixed_cost_up_20pct,E,964.7349775281957,771.7879820225567,192.94699550563905,0.8,678.3460037134604,0.8789279174000337,"E,I",1,E,0.0,1.0,0.88
fixed_cost_up_20pct,F,516.7601438764485,413.40811510115884,103.35202877528968,0.8,355.5309789869966,0.86,"E,G",1,E,500.0,0.9,0.86
fixed_cost_up_20pct,G,1070.2186577446944,856.1749261957556,214.0437315489388,0.8,753.4339350522649,0.88,G,1,G,0.0,1.0,0.88
fixed_cost_up_20pct,H,654.9955094601427,654.9955094601427,0.0,1.0,576.3960483249256,0.88,J,1,J,300.0,1.0,0.88
fixed_cost_up_20pct,I,891.8092274992009,713.4473819993608,178.36184549984011,0.8,627.8336961594375,0.88,I,1,I,0.0,1.0,0.88
fixed_cost_up_20pct,J,779.6942729326695,682.6408831862677,97.05338974640176,0.875523787828588,600.7239772039156,0.88,J,1,J,0.0,1.0,0.88
