scenario,station,service,base_price,optimized_price,price_satisfaction
transition_up,C,助餐,10.0,10.0,1.0
transition_up,C,日间照料,20.0,16.0,1.0
transition_up,C,上门护理,30.0,24.0,1.0
transition_up,C,康复理疗,28.0,28.0,1.0
transition_up,C,助浴,25.0,20.0,1.0
transition_up,C,紧急救助,0.0,0.0,1.0
transition_up,E,助餐,10.0,6.0,1.0
transition_up,E,日间照料,20.0,20.0,1.0
transition_up,E,上门护理,30.0,30.0,1.0
transition_up,E,康复理疗,28.0,28.0,1.0
transition_up,E,助浴,25.0,25.0,1.0
transition_up,E,紧急救助,0.0,0.0,1.0
transition_up,G,助餐,10.0,10.0,1.0
transition_up,G,日间照料,20.0,16.0,1.0
transition_up,G,上门护理,30.0,24.0,1.0
transition_up,G,康复理疗,28.0,28.0,1.0
transition_up,G,助浴,25.0,25.0,1.0
transition_up,G,紧急救助,0.0,0.0,1.0
transition_up,I,助餐,10.0,10.0,1.0
transition_up,I,日间照料,20.0,20.0,1.0
transition_up,I,上门护理,30.0,18.0,1.0
transition_up,I,康复理疗,28.0,22.4,1.0
transition_up,I,助浴,25.0,25.0,1.0
transition_up,I,紧急救助,0.0,0.0,1.0
transition_up,J,助餐,10.0,10.0,1.0
transition_up,J,日间照料,20.0,16.0,1.0
transition_up,J,上门护理,30.0,24.0,1.0
transition_up,J,康复理疗,28.0,22.4,1.0
transition_up,J,助浴,25.0,20.0,1.0
transition_up,J,紧急救助,0.0,0.0,1.0
