community,daily_demand,served_daily_demand,unserved_daily_demand,capacity_fulfillment_rate,effective_daily_demand,served_weighted_satisfaction,actual_stations,spatially_covered,dominant_station,dominant_distance_m,dominant_distance_score,dominant_satisfaction
A,864.6265662917383,280.8542175440971,583.7723487476412,0.32482718955611245,241.5346270879235,0.86,J,1,J,500.0,0.9,0.86
B,719.1457824559028,719.1457824559034,0.0,1.0000000000000009,632.848288561195,0.88,J,1,J,300.0,1.0,0.88
C,1153.814830259393,1017.6746466532661,136.1401836061268,0.882008637750374,894.6699567222108,0.8791316160468676,"C,I",1,C,0.0,1.0,0.88
D,620.8727081818305,620.8727081818307,0.0,1.0000000000000004,546.367983200011,0.88,H,1,H,300.0,1.0,0.88
E,964.7349775281957,964.7349775281957,0.0,1.0,829.6720806742483,0.86,I,1,I,500.0,0.9,0.86
F,516.7601438764485,0.0,516.7601438764485,0.0,0.0,0.0,,1,,,,
G,1070.2186577446944,1070.2186577446942,2.2737367544323206e-13,0.9999999999999998,920.388045660437,0.86,I,1,I,400.0,0.9,0.86
H,654.9955094601427,654.9955094601427,0.0,1.0,576.3960483249256,0.88,H,1,H,0.0,1.0,0.88
I,891.8092274992009,891.8092274992011,0.0,1.0000000000000002,784.792120199297,0.88,I,1,I,0.0,1.0,0.88
J,779.6942729326695,779.6942729326697,0.0,1.0000000000000002,685.0197103692565,0.8785747621214234,"H,I",1,H,300.0,1.0,0.88
