community,daily_demand,served_daily_demand,unserved_daily_demand,capacity_fulfillment_rate,effective_daily_demand,served_weighted_satisfaction,actual_stations,spatially_covered,dominant_station,dominant_distance_m,dominant_distance_score,dominant_satisfaction
A,864.6265662917383,691.7012530333907,172.92531325834761,0.8,553.3610024267126,0.8,D,1,D,900.0,0.6,0.8
B,719.1457824559028,575.3166259647222,143.82915649118058,0.7999999999999999,494.7722983296611,0.86,D,1,D,500.0,0.9,0.86
C,1153.814830259393,1000.0,153.81483025939292,0.8666901947994434,880.0,0.88,C,1,C,0.0,1.0,0.88
D,620.8727081818305,496.6981665454644,124.17454163636609,0.8,437.0943865600087,0.88,D,1,D,0.0,1.0,0.88
E,964.7349775281957,802.9258451547859,161.80913237340985,0.8322760798121049,690.5162268331159,0.86,G,1,G,400.0,0.9,0.86
F,516.7601438764485,413.40811510115884,103.35202877528968,0.8,355.5309789869966,0.86,G,1,G,500.0,0.9,0.86
G,1070.2186577446944,1070.2186577446944,0.0,1.0,941.7924188153311,0.88,G,1,G,0.0,1.0,0.88
H,654.9955094601427,612.5285361102872,42.46697334985549,0.9351644816849852,539.0251117770528,0.8800000000000001,D,1,D,300.0,1.0,0.88
I,891.8092274992009,713.4473819993608,178.36184549984011,0.8,613.5647485194503,0.86,G,1,G,400.0,0.9,0.86
J,779.6942729326695,623.7554183461357,155.9388545865338,0.8000000000000002,536.4296597776766,0.86,D,1,D,400.0,0.9,0.86
