community,daily_demand,served_daily_demand,unserved_daily_demand,capacity_fulfillment_rate,effective_daily_demand,served_weighted_satisfaction,actual_stations,spatially_covered,dominant_station,dominant_distance_m,dominant_distance_score,dominant_satisfaction
A,864.6265662917383,691.7012530333907,172.92531325834761,0.8,594.863077608716,0.8600000000000001,J,1,J,500.0,0.9,0.86
B,719.1457824559028,719.1457824559028,0.0,1.0,632.8482885611945,0.8800000000000001,B,1,B,0.0,1.0,0.88
C,1153.814830259393,923.0518642075144,230.7629660518785,0.8,738.4414913660116,0.8,B,1,B,800.0,0.6,0.8
D,620.8727081818305,578.1080804039132,42.764627777917326,0.9311217465120191,497.17294914736533,0.86,B,1,B,500.0,0.9,0.86
E,964.7349775281957,771.7879820225567,192.94699550563905,0.8,663.7376645393987,0.86,F,1,F,500.0,0.9,0.86
F,516.7601438764485,413.40811510115884,103.35202877528968,0.8,363.79914128901976,0.8799999999999999,F,1,F,0.0,1.0,0.88
G,1070.2186577446944,856.1749261957556,214.0437315489388,0.8,735.0693058287657,0.8585503771932462,"D,F",1,F,500.0,0.9,0.86
H,654.9955094601427,553.4803416477774,101.51516781236523,0.8450139484222792,487.0627006500441,0.88,D,1,D,300.0,1.0,0.88
I,891.8092274992009,713.4473819993608,178.36184549984011,0.8,613.5647485194503,0.86,"D,J",1,D,500.0,0.9,0.86
J,779.6942729326695,779.6942729326695,0.0,1.0,686.1309601807492,0.88,B,1,B,300.0,1.0,0.88
