community,daily_demand,served_daily_demand,unserved_daily_demand,capacity_fulfillment_rate,effective_daily_demand,served_weighted_satisfaction,actual_stations,spatially_covered,dominant_station,dominant_distance_m,dominant_distance_score,dominant_satisfaction
A,898.5561904262673,718.8449523410139,179.7112380852534,0.8,575.0759618728111,0.8,D,1,D,900.0,0.6,0.8
B,747.8797104595202,598.3037683676162,149.57594209190404,0.8,514.5412407961499,0.8599999999999999,D,1,D,500.0,0.9,0.86
C,1197.7296143932924,1000.0,197.72961439329242,0.8349129786746969,880.0,0.88,C,1,C,0.0,1.0,0.88
D,646.3667513818247,517.0934011054597,129.2733502763649,0.8,455.04219297280457,0.88,D,1,D,0.0,1.0,0.88
E,1002.1112681780321,801.6890145424258,200.42225363560635,0.8,689.4525525064861,0.8599999999999999,G,1,G,400.0,0.9,0.86
F,538.6932050736302,430.9545640589042,107.738641014726,0.8,370.62092509065764,0.86,G,1,G,500.0,0.9,0.86
G,1111.426026423048,997.5774619562827,113.8485644667652,0.8975653244029482,877.8681665215288,0.88,G,1,G,0.0,1.0,0.88
H,681.7266686618293,545.3813349294635,136.34533373236582,0.8,479.9355747379279,0.88,D,1,D,300.0,1.0,0.88
I,926.8679198350148,741.494335868012,185.3735839670029,0.8,637.6851288464902,0.8599999999999999,G,1,G,400.0,0.9,0.86
J,810.8264585385275,648.661166830822,162.16529170770548,0.8,557.0000647672757,0.8586918614052743,"D,G",1,D,400.0,0.9,0.86
