community,daily_demand,served_daily_demand,unserved_daily_demand,capacity_fulfillment_rate,effective_daily_demand,served_weighted_satisfaction,actual_stations,spatially_covered,dominant_station,dominant_distance_m,dominant_distance_score,dominant_satisfaction
A,898.5561904262673,718.8449523410139,179.7112380852534,0.8,618.206659013272,0.86,J,1,J,500.0,0.9,0.86
B,747.8797104595202,598.3037683676162,149.57594209190404,0.8,526.5073161635022,0.88,B,1,B,0.0,1.0,0.88
C,1197.7296143932924,958.183691514634,239.54592287865842,0.8,766.5469532117072,0.8,B,1,B,800.0,0.6,0.8
D,646.3667513818247,517.0934011054597,129.2733502763649,0.8,444.7003249506954,0.86,B,1,B,500.0,0.9,0.86
E,1002.1112681780321,801.6890145424258,200.42225363560635,0.8,689.4525525064861,0.8599999999999999,F,1,F,500.0,0.9,0.86
F,538.6932050736302,430.9545640589042,107.738641014726,0.8,379.24001637183574,0.88,F,1,F,0.0,1.0,0.88
G,1111.426026423048,889.1408211384384,222.28520528460956,0.8,761.007574186864,0.8558909411137877,"D,F",1,F,500.0,0.9,0.86
H,681.7266686618293,545.3813349294635,136.34533373236582,0.8,477.38547428036276,0.8753241882436352,"B,D",1,D,300.0,1.0,0.88
I,926.8679198350148,741.494335868012,185.3735839670029,0.8,637.6851288464902,0.8599999999999999,"D,J",1,D,500.0,0.9,0.86
J,810.8264585385275,798.9141161340322,11.912342404495348,0.9853083945657537,703.0444221979483,0.88,B,1,B,300.0,1.0,0.88
