community,daily_demand,served_daily_demand,unserved_daily_demand,capacity_fulfillment_rate,effective_daily_demand,served_weighted_satisfaction,actual_stations,spatially_covered,dominant_station,dominant_distance_m,dominant_distance_score,dominant_satisfaction
A,879.7188157806432,703.7750526245146,175.94376315612863,0.8,563.0200420996117,0.8,D,1,D,900.0,0.6,0.8
B,730.1371870214558,584.1097496171647,146.02743740429116,0.8,502.3343846707616,0.86,D,1,D,500.0,0.9,0.86
C,1173.1886321248464,1000.0,173.18863212484644,0.8523778466799733,880.0,0.88,C,1,C,0.0,1.0,0.88
D,629.3777527955305,503.5022022364244,125.87555055910605,0.8,443.08193796805347,0.88,D,1,D,0.0,1.0,0.88
E,981.097303161971,784.8778425295768,196.2194606323942,0.8,674.9949445754361,0.86,G,1,G,400.0,0.9,0.86
F,523.0651722962409,418.45213783699273,104.61303445924818,0.8,359.86883853981374,0.86,G,1,G,500.0,0.9,0.86
G,1088.325740020162,1088.325740020162,0.0,1.0,957.7266512177425,0.88,G,1,G,0.0,1.0,0.88
H,664.7589597868904,557.0385196529282,107.72044013396214,0.8379556400887093,490.19389729457686,0.88,D,1,D,300.0,1.0,0.88
I,907.1278381139148,725.7022704911319,181.42556762278286,0.8000000000000002,624.1039526223735,0.8600000000000001,"D,G",1,G,400.0,0.9,0.86
J,792.770606238881,634.2164849911048,158.55412124777615,0.8,545.4261770923501,0.86,D,1,D,400.0,0.9,0.86
