community,daily_demand,served_daily_demand,unserved_daily_demand,capacity_fulfillment_rate,effective_daily_demand,served_weighted_satisfaction,actual_stations,spatially_covered,dominant_station,dominant_distance_m,dominant_distance_score,dominant_satisfaction
A,879.7188157806432,703.7750526245146,175.94376315612863,0.8,605.2465452570825,0.8599999999999999,J,1,J,500.0,0.9,0.86
B,730.1371870214558,729.9012224969595,0.23596452449635308,0.9996768216594214,642.3130757973244,0.88,B,1,B,0.0,1.0,0.88
C,1173.1886321248464,938.5509056998771,234.6377264249693,0.8,750.8407245599018,0.8,B,1,B,800.0,0.6,0.8
D,629.3777527955305,503.5022022364244,125.87555055910605,0.8,433.011893923325,0.86,B,1,B,500.0,0.9,0.86
E,981.097303161971,784.8778425295768,196.2194606323942,0.8,674.9949445754361,0.86,F,1,F,500.0,0.9,0.86
F,523.0651722962409,418.45213783699273,104.61303445924818,0.8,368.2378812965536,0.88,F,1,F,0.0,1.0,0.88
G,1088.325740020162,870.6605920161296,217.6651480040323,0.8,746.5483919623905,0.8574505367627344,"D,F",1,F,500.0,0.9,0.86
H,664.7589597868904,531.8071678295123,132.95179195737808,0.8,467.28480642341367,0.8786733889476583,"B,D",1,D,300.0,1.0,0.88
I,907.1278381139148,725.7022704911319,181.42556762278286,0.8000000000000002,624.1039526223734,0.86,"D,J",1,D,500.0,0.9,0.86
J,792.770606238881,792.770606238881,0.0,1.0,697.6381334902153,0.88,B,1,B,300.0,1.0,0.88
