community,daily_demand,served_daily_demand,unserved_daily_demand,capacity_fulfillment_rate,effective_daily_demand,served_weighted_satisfaction,actual_stations,spatially_covered,dominant_station,dominant_distance_m,dominant_distance_score,dominant_satisfaction
A,864.6265662917383,0.0,864.6265662917383,0.0,0.0,0.0,,1,,,,
B,719.1457824559028,719.1457824559028,0.0,1.0,618.4653729120764,0.86,D,1,D,500.0,0.9,0.86
C,1153.814830259393,1153.814830259393,0.0,1.0,1012.2807540230779,0.8773338038959888,"C,G",1,C,0.0,1.0,0.88
D,620.8727081818305,620.8727081818305,0.0,1.0,546.3679832000108,0.88,D,1,D,0.0,1.0,0.88
E,964.7349775281957,964.7349775281957,0.0,1.0,829.6720806742483,0.86,G,1,G,400.0,0.9,0.86
F,516.7601438764485,516.7601438764485,0.0,1.0,444.4137237337457,0.86,G,1,G,500.0,0.9,0.86
G,1070.2186577446944,1070.2186577446944,0.0,1.0,941.7924188153311,0.88,G,1,G,0.0,1.0,0.88
H,654.9955094601427,654.9955094601427,0.0,1.0,576.3960483249256,0.88,D,1,D,300.0,1.0,0.88
I,891.8092274992009,891.8092274992009,0.0,1.0,766.9559356493128,0.86,"D,G",1,D,500.0,0.9,0.86
J,779.6942729326695,407.6481629941917,372.0461099384778,0.5228307775827336,350.5774201750049,0.8600000000000001,D,1,D,400.0,0.9,0.86
