community,daily_demand,served_daily_demand,unserved_daily_demand,capacity_fulfillment_rate,effective_daily_demand,served_weighted_satisfaction,actual_stations,spatially_covered,dominant_station,dominant_distance_m,dominant_distance_score,dominant_satisfaction
A,864.6265662917383,846.1644351512851,18.462131140453153,0.9786472774950293,727.7014142301052,0.86,J,1,J,500.0,0.9,0.86
B,719.1457824559028,719.1457824559028,0.0,1.0,632.8482885611945,0.8800000000000001,J,1,J,300.0,1.0,0.88
C,1153.814830259393,1000.0,153.81483025939292,0.8666901947994434,880.0,0.88,C,1,C,0.0,1.0,0.88
D,620.8727081818305,108.19077250079908,512.6819356810314,0.17425596434674342,93.04406435068721,0.86,I,1,I,500.0,0.9,0.86
E,964.7349775281957,964.7349775281957,0.0,1.0,848.9667802248123,0.88,E,1,E,0.0,1.0,0.88
F,516.7601438764485,0.0,516.7601438764485,0.0,0.0,0.0,,1,,,,
G,1070.2186577446944,1035.2650224718043,34.9536352728901,0.9673397253729915,910.3279193257517,0.8793187247379883,"E,G",1,G,0.0,1.0,0.88
H,654.9955094601427,654.9955094601427,0.0,1.0,576.3960483249256,0.88,J,1,J,300.0,1.0,0.88
I,891.8092274992009,891.8092274992009,0.0,1.0,784.7921201992968,0.88,I,1,I,0.0,1.0,0.88
J,779.6942729326695,779.6942729326695,0.0,1.0,686.1309601807492,0.88,J,1,J,0.0,1.0,0.88
