community,daily_demand,served_daily_demand,unserved_daily_demand,capacity_fulfillment_rate,effective_daily_demand,served_weighted_satisfaction,actual_stations,spatially_covered,dominant_station,dominant_distance_m,dominant_distance_score,dominant_satisfaction
A,864.6265662917383,864.6265662917385,0.0,1.0000000000000002,791.9979347232326,0.916,A,1,A,0.0,1.0,0.916
B,719.1457824559028,719.1457824559029,0.0,1.0000000000000002,658.7375367296071,0.916,B,1,B,0.0,1.0,0.916
C,1153.814830259393,1153.8148302593931,0.0,1.0000000000000002,1033.8180879124163,0.896,G,1,G,500.0,0.9,0.896
D,620.8727081818305,620.8727081818306,0.0,1.0000000000000002,556.3019465309202,0.8959999999999999,B,1,B,500.0,0.9,0.896
E,964.7349775281957,964.7349775281959,0.0,1.0000000000000002,864.4025398652636,0.896,I,1,I,500.0,0.9,0.896
F,516.7601438764485,516.7601438764484,1.1368683772161603e-13,0.9999999999999998,463.0170889132978,0.896,G,1,G,500.0,0.9,0.896
G,1070.2186577446944,1070.2186577446944,0.0,1.0,980.3202904941401,0.916,G,1,G,0.0,1.0,0.916
H,654.9955094601427,654.9955094601428,0.0,1.0000000000000002,586.875976476288,0.896,B,1,B,400.0,0.9,0.896
I,891.8092274992009,891.8092274992009,0.0,1.0,816.897252389268,0.916,I,1,I,0.0,1.0,0.916
J,779.6942729326695,779.6942729326693,2.2737367544323206e-13,0.9999999999999997,714.1999540063251,0.9160000000000001,B,1,B,300.0,1.0,0.916
