community,daily_demand,served_daily_demand,unserved_daily_demand,capacity_fulfillment_rate,effective_daily_demand,served_weighted_satisfaction,actual_stations,spatially_covered,dominant_station,dominant_distance_m,dominant_distance_score,dominant_satisfaction
A,864.6265662917383,864.6265662917383,0.0,1.0,736.8200952018113,0.8521830393922882,"B,J",1,J,500.0,0.9,0.86
B,719.1457824559028,719.1457824559028,0.0,1.0,632.8482885611945,0.8800000000000001,B,1,B,0.0,1.0,0.88
C,1153.814830259393,0.0,1153.814830259393,0.0,0.0,0.0,,1,,,,
D,620.8727081818305,620.8727081818305,0.0,1.0,533.9505290363742,0.8599999999999999,B,1,B,500.0,0.9,0.86
E,964.7349775281957,964.7349775281957,0.0,1.0,829.6720806742483,0.86,F,1,F,500.0,0.9,0.86
F,516.7601438764485,516.7601438764485,0.0,1.0,454.7489266112747,0.88,F,1,F,0.0,1.0,0.88
G,1070.2186577446944,987.3608117738709,82.85784597082352,0.9225785820764586,835.0646201301736,0.845754267510288,"D,F",1,F,500.0,0.9,0.86
H,654.9955094601427,654.9955094601427,0.0,1.0,563.2961381357227,0.86,B,1,B,400.0,0.9,0.86
I,891.8092274992009,891.8092274992009,0.0,1.0,766.9559356493128,0.86,"D,J",1,D,500.0,0.9,0.86
J,779.6942729326695,779.6942729326695,0.0,1.0,686.1309601807492,0.88,B,1,B,300.0,1.0,0.88
