community,daily_demand,served_daily_demand,unserved_daily_demand,capacity_fulfillment_rate,effective_daily_demand,served_weighted_satisfaction,actual_stations,spatially_covered,dominant_station,dominant_distance_m,dominant_distance_score,dominant_satisfaction
A,864.6265662917383,864.6265662917381,2.2737367544323206e-13,0.9999999999999998,743.5788470108947,0.86,J,1,J,500.0,0.9,0.86
B,719.1457824559028,719.1457824559029,0.0,1.0000000000000002,686.7842222453874,0.9550000000000001,B,1,B,0.0,1.0,0.9550000000000001
C,1153.814830259393,1153.814830259393,0.0,1.0,992.2807540230779,0.86,G,1,G,500.0,0.9,0.86
D,620.8727081818305,620.8727081818306,0.0,1.0000000000000002,533.9505290363743,0.86,J,1,J,400.0,0.9,0.86
E,964.7349775281957,964.7349775281956,1.1368683772161603e-13,0.9999999999999999,925.1808434495397,0.9590000000000001,F,1,F,500.0,0.9,0.9590000000000001
F,516.7601438764485,516.7601438764485,0.0,1.0,505.90818085504316,0.9790000000000001,F,1,F,0.0,1.0,0.9790000000000001
G,1070.2186577446944,1070.2186577446944,0.0,1.0,941.7924188153311,0.88,G,1,G,0.0,1.0,0.88
H,654.9955094601427,654.9955094601428,0.0,1.0000000000000002,576.3960483249257,0.88,J,1,J,300.0,1.0,0.88
I,891.8092274992009,891.8092274992009,0.0,1.0,766.9559356493128,0.86,"G,J",1,G,400.0,0.9,0.86
J,779.6942729326695,779.6942729326693,2.2737367544323206e-13,0.9999999999999997,688.8333431084742,0.883465952003932,"B,J",1,J,0.0,1.0,0.88
