community,elder_type,service,monthly_demand
A,自理老人,助餐,7297.00836623479
A,自理老人,日间照料,4169.71906641988
A,自理老人,上门护理,0.0
A,自理老人,康复理疗,1042.42976660497
A,自理老人,助浴,0.0
A,自理老人,紧急救助,78.18223249537274
A,半失能老人,助餐,3010.6872568891636
A,半失能老人,日间照料,2107.4810798224144
A,半失能老人,上门护理,903.206177066749
A,半失能老人,康复理疗,602.1374513778327
A,半失能老人,助浴,301.06872568891635
A,半失能老人,紧急救助,150.53436284445817
A,失能老人,助餐,2124.300539581035
A,失能老人,日间照料,1738.0640778390286
A,失能老人,上门护理,1158.709385226019
A,失能老人,康复理疗,579.3546926130095
A,失能老人,助浴,386.2364617420064
A,失能老人,紧急救助,289.6773463065048
B,自理老人,助餐,6097.336915935228
B,自理老人,日间照料,3484.192523391559
B,自理老人,上门护理,0.0
B,自理老人,康复理疗,871.0481308478898
B,自理老人,助浴,0.0
B,自理老人,紧急救助,65.32860981359173
B,半失能老人,助餐,2439.5148851170347
B,半失能老人,日间照料,1707.660419581924
B,半失能老人,上门护理,731.8544655351103
B,半失能老人,康复理疗,487.9029770234069
B,半失能老人,助浴,243.95148851170345
B,半失能老人,紧急救助,121.97574425585172
B,失能老人,助餐,1801.836321547743
B,失能老人,日间照料,1474.2297176299714
B,失能老人,上门护理,982.8198117533143
B,失能老人,康复理疗,491.40990587665715
B,失能老人,助浴,327.60660391777145
B,失能老人,紧急救助,245.70495293832857
C,自理老人,助餐,9352.141720140018
C,自理老人,日间照料,5344.080982937154
C,自理老人,上门护理,0.0
C,自理老人,康复理疗,1336.0202457342884
C,自理老人,助浴,0.0
C,自理老人,紧急救助,100.20151843007163
C,半失能老人,助餐,3973.204663036679
C,半失能老人,日间照料,2781.2432641256755
C,半失能老人,上门护理,1191.9613989110037
C,半失能老人,康复理疗,794.6409326073358
C,半失能老人,助浴,397.3204663036679
C,半失能老人,紧急救助,198.66023315183395
C,失能老人,助餐,3095.220440198297
C,失能老人,日间照料,2532.4530874349707
C,失能老人,上门护理,1688.3020582899803
C,失能老人,康复理疗,844.1510291449902
C,失能老人,助浴,562.7673527633268
C,失能老人,紧急救助,422.0755145724951
D,自理老人,助餐,5480.874786119492
D,自理老人,日间照料,3131.9284492111383
D,自理老人,上门护理,0.0
D,自理老人,康复理疗,782.9821123027846
D,自理老人,助浴,0.0
D,自理老人,紧急救助,58.72365842270884
D,半失能老人,助餐,2035.038894951659
D,半失能老人,日间照料,1424.5272264661614
D,半失能老人,上门护理,610.5116684854977
D,半失能老人,康复理疗,407.0077789903318
D,半失能老人,助浴,203.5038894951659
D,半失能老人,紧急救助,101.75194474758295
D,失能老人,助餐,1485.6196676580407
D,失能老人,日间照料,1215.5070008111245
D,失能老人,上门护理,810.3380005407497
D,失能老人,康复理疗,405.16900027037485
D,失能老人,助浴,270.11266684691657
D,失能老人,紧急救助,202.58450013518743
E,自理老人,助餐,7947.5020689407565
E,自理老人,日间照料,4541.429753680432
E,自理老人,上门护理,0.0
E,自理老人,康复理疗,1135.357438420108
E,自理老人,助浴,0.0
E,自理老人,紧急救助,85.1518078815081
E,半失能老人,助餐,3367.7745462372964
E,半失能老人,日间照料,2357.4421823661073
E,半失能老人,上门护理,1010.3323638711888
E,半失能老人,康复理疗,673.5549092474592
E,半失能老人,助浴,336.7774546237296
E,半失能老人,紧急救助,168.3887273118648
E,失能老人,助餐,2476.9759632590653
E,失能老人,日间照料,2026.6166972119624
E,失能老人,上门护理,1351.0777981413082
E,失能老人,康复理疗,675.5388990706541
E,失能老人,助浴,450.3592660471028
E,失能老人,紧急救助,337.76944953532706
F,自理老人,助餐,4830.381083413522
F,自理老人,日间照料,2760.217761950584
F,自理老人,上门护理,0.0
F,自理老人,康复理疗,690.054440487646
F,自理老人,助浴,0.0
F,自理老人,紧急救助,51.754083036573455
F,半失能老人,助餐,1661.4947298634158
F,半失能老人,日间照料,1163.0463109043912
F,半失能老人,上门护理,498.44841895902476
F,半失能老人,康复理疗,332.29894597268316
F,半失能老人,助浴,166.14947298634158
F,半失能老人,紧急救助,83.07473649317079
F,失能老人,助餐,1105.376235522681
F,失能老人,日间照料,904.3987381549209
F,失能老人,上门护理,602.9324921032805
F,失能老人,康复理疗,301.46624605164027
F,失能老人,助浴,200.97749736776018
F,失能老人,紧急救助,150.73312302582013
G,自理老人,助餐,8769.711163214512
G,自理老人,日间照料,5011.263521836864
G,自理老人,上门护理,0.0
G,自理老人,康复理疗,1252.815880459216
G,自理老人,助浴,0.0
G,自理老人,紧急救助,93.9611910344412
G,半失能老人,助餐,3696.893178559495
G,半失能老人,日间照料,2587.825224991647
G,半失能老人,上门护理,1109.0679535678487
G,半失能老人,康复理疗,739.378635711899
G,半失能老人,助浴,369.6893178559495
G,半失能老人,紧急救助,184.84465892797476
G,失能老人,助餐,2806.2215097843336
G,失能老人,日间照料,2295.999417096273
G,失能老人,上门护理,1530.666278064182
G,失能老人,康复理疗,765.333139032091
G,失能老人,助浴,510.2220926880607
G,失能老人,紧急救助,382.6665695160455
H,自理老人,助餐,5789.495232806518
H,自理老人,日间照料,3308.2829901751534
H,自理老人,上门护理,0.0
H,自理老人,康复理疗,827.0707475437883
H,自理老人,助浴,0.0
H,自理老人,紧急救助,62.030306065784124
H,半失能老人,助餐,2238.9386004371636
H,半失能老人,日间照料,1567.2570203060147
H,半失能老人,上门护理,671.6815801311491
H,半失能老人,康复理疗,447.7877200874328
H,半失能老人,助浴,223.8938600437164
H,半失能老人,紧急救助,111.9469300218582
H,失能老人,助餐,1489.7317925551595
H,失能老人,日间照料,1218.8714666360395
H,失能老人,上门护理,812.5809777573596
H,失能老人,康复理疗,406.2904888786798
H,失能老人,助浴,270.8603259191199
H,失能老人,紧急救助,203.1452444393399
I,自理老人,助餐,7467.94499424426
I,自理老人,日间照料,4267.397139568148
I,自理老人,上门护理,0.0
I,自理老人,康复理疗,1066.849284892037
I,自理老人,助浴,0.0
I,自理老人,紧急救助,80.01369636690278
I,半失能老人,助餐,3189.0546656217584
I,半失能老人,日间照料,2232.338265935231
I,半失能老人,上门护理,956.7163996865274
I,半失能老人,康复理疗,637.8109331243517
I,半失能老人,助浴,318.90546656217583
I,半失能老人,紧急救助,159.45273328108792
I,失能老人,助餐,2158.637713927047
I,失能老人,日间照料,1766.1581295766748
I,失能老人,上门护理,1177.4387530511165
I,失能老人,康复理疗,588.7193765255582
I,失能老人,助浴,392.4795843503722
I,失能老人,紧急救助,294.3596882627791
J,自理老人,助餐,6714.577809309284
J,自理老人,日间照料,3836.901605319591
J,自理老人,上门护理,0.0
J,自理老人,康复理疗,959.2254013298977
J,自理老人,助浴,0.0
J,自理老人,紧急救助,71.94190509974233
J,半失能老人,助餐,2732.3419536131187
J,半失能老人,日间照料,1912.6393675291833
J,半失能老人,上门护理,819.7025860839357
J,半失能老人,康复理疗,546.4683907226238
J,半失能老人,助浴,273.2341953613119
J,半失能老人,紧急救助,136.61709768065595
J,失能老人,助餐,1823.3525118534806
J,失能老人,日间照料,1491.8338733346661
J,失能老人,上门护理,994.5559155564441
J,失能老人,康复理疗,497.27795777822206
J,失能老人,助浴,331.51863851881467
J,失能老人,紧急救助,248.63897888911103
