community,elder_type,monthly_income,cap_ratio,theoretical_cost_per_elder,cap_amount_per_elder,scale_factor
A,自理老人,3400.0,0.2,356.0,680.0,1.0
A,半失能老人,3400.0,0.25,822.0,850.0,1.0
A,失能老人,3400.0,0.3,1208.0,1020.0,0.8443708609271523
B,自理老人,3100.0,0.2,356.0,620.0,1.0
B,半失能老人,3100.0,0.25,822.0,775.0,0.9428223844282239
B,失能老人,3100.0,0.3,1208.0,930.0,0.7698675496688742
C,自理老人,3800.0,0.2,356.0,760.0,1.0
C,半失能老人,3800.0,0.25,822.0,950.0,1.0
C,失能老人,3800.0,0.3,1208.0,1140.0,0.9437086092715232
D,自理老人,2900.0,0.2,356.0,580.0,1.0
D,半失能老人,2900.0,0.25,822.0,725.0,0.8819951338199513
D,失能老人,2900.0,0.3,1208.0,870.0,0.7201986754966887
E,自理老人,3500.0,0.2,356.0,700.0,1.0
E,半失能老人,3500.0,0.25,822.0,875.0,1.0
E,失能老人,3500.0,0.3,1208.0,1050.0,0.8692052980132451
F,自理老人,2700.0,0.2,356.0,540.0,1.0
F,半失能老人,2700.0,0.25,822.0,675.0,0.8211678832116789
F,失能老人,2700.0,0.3,1208.0,810.0,0.6705298013245033
G,自理老人,3600.0,0.2,356.0,720.0,1.0
G,半失能老人,3600.0,0.25,822.0,900.0,1.0
G,失能老人,3600.0,0.3,1208.0,1080.0,0.8940397350993378
H,自理老人,3000.0,0.2,356.0,600.0,1.0
H,半失能老人,3000.0,0.25,822.0,750.0,0.9124087591240876
H,失能老人,3000.0,0.3,1208.0,900.0,0.7450331125827815
I,自理老人,3300.0,0.2,356.0,660.0,1.0
I,半失能老人,3300.0,0.25,822.0,825.0,1.0
I,失能老人,3300.0,0.3,1208.0,990.0,0.8195364238410596
J,自理老人,3200.0,0.2,356.0,640.0,1.0
J,半失能老人,3200.0,0.25,822.0,800.0,0.9732360097323601
J,失能老人,3200.0,0.3,1208.0,960.0,0.7947019867549668
