year,community,self_care,semi_disabled,disabled,elderly_total,monthly_income
0,A,496.0,152.0,64.0,712.0,3400.0
0,B,408.0,136.0,64.0,608.0,3100.0
0,C,632.0,208.0,80.0,920.0,3800.0
0,D,368.0,120.0,56.0,544.0,2900.0
0,E,536.0,176.0,72.0,784.0,3500.0
0,F,328.0,104.0,40.0,472.0,2700.0
0,G,592.0,192.0,80.0,864.0,3600.0
0,H,392.0,128.0,48.0,568.0,3000.0
0,I,504.0,168.0,64.0,736.0,3300.0
0,J,456.0,144.0,56.0,656.0,3200.0
1,A,499.836,151.164,75.24,726.24,3400.0
1,B,412.71799999999996,133.722,73.71999999999998,620.16,3100.0
1,C,637.7819999999999,204.85799999999998,95.75999999999999,938.3999999999999,3800.0
1,D,371.948,118.332,64.6,554.88,2900.0
1,E,541.166,173.394,85.11999999999999,799.6800000000001,3500.0
1,F,330.618,102.942,47.879999999999995,481.44,2700.0
1,G,597.572,189.468,94.24,881.28,3600.0
1,H,395.402,126.19799999999996,57.76,579.3599999999999,3000.0
1,I,508.77399999999994,165.18599999999998,76.75999999999999,750.7199999999999,3300.0
1,J,459.62600000000003,142.614,66.88,669.12,3200.0
2,A,504.31301099999996,150.61320899999998,85.83858,740.7647999999999,3400.0
2,B,417.84960549999994,131.9760045,82.73758999999998,632.5631999999998,3100.0
2,C,644.3157194999999,202.41877049999997,110.43350999999998,957.1679999999998,3800.0
2,D,376.291423,117.074637,72.61153999999999,565.9775999999999,2900.0
2,E,546.9504535,171.3867165,97.33642999999998,815.6736,3500.0
2,F,333.6539805,102.14932949999998,55.26549,491.06879999999995,2700.0
2,G,603.8367969999999,187.54134299999998,107.52745999999999,898.9055999999999,3600.0
2,H,399.2836645,124.80272549999995,66.86080999999999,590.9472,3000.0
2,I,514.1356114999999,162.98411849999997,88.61466999999998,765.7343999999998,3300.0
2,J,463.8340885,141.5839815,77.08433,682.5024,3200.0
3,A,509.39151522975,150.33367491525,95.85490585499998,755.5800959999999,3400.0
3,B,423.37347858987494,130.70255448262498,91.13843092749998,645.2144639999999,3100.0
3,C,651.5571965163749,200.61254578612497,124.14161769749998,976.3113599999999,3800.0
3,D,381.00882551674994,116.18527296824998,80.103053515,577.2971519999999,2900.0
3,E,553.317950937875,169.917774494625,108.75134656749998,831.9870719999999,3500.0
3,F,337.08238980862495,101.60138438887499,62.20640180249999,500.89017599999994,2700.0
3,G,610.75432607825,186.16187133674995,119.96751458499999,916.883712,3600.0
3,H,403.616408617625,123.77570695987495,75.37402842249998,602.7661439999999,3000.0
3,I,520.0509415333748,161.33071870912494,99.66742775749996,781.0490879999996,3300.0
3,J,468.58864479162503,140.88321146587498,86.68059174249998,696.152448,3200.0
4,A,515.0360589121907,150.31177932861056,105.34385967919873,770.69169792,3400.0
4,B,429.270600930664,129.84990029236153,98.99825205697435,658.1187532799999,3100.0
4,C,659.4670617394811,199.37779679821188,136.99272866230686,995.8375871999998,3800.0
4,D,386.0810575900714,115.62653567869478,87.13550177123373,588.8430950399999,2900.0
4,E,560.236806028387,168.93403959549855,119.45596781611435,848.62681344,3500.0
4,F,340.88031047387494,101.27945581680682,68.74821322931813,510.9079795199999,2700.0
4,G,618.2887221744922,185.2781474327664,131.6545166327412,935.2213862399999,3600.0
4,H,408.37461679834024,123.08283091909655,83.3640191625631,614.8214668799999,3000.0
4,I,526.4896528661543,160.1699422468536,110.01047464699184,796.6700697599997,3300.0
4,J,473.85771934720185,140.48731036816505,95.7304672446331,710.07549696,3200.0
5,A,521.214883302485,150.53436284445817,114.3562857314568,786.1055318783999,3400.0
5,B,435.5240654239449,129.372982939755,106.38407998189997,671.2811283455999,3100.0
5,C,668.0101228671442,198.66023315183395,149.08398292502164,1015.7543389439998,3800.0
5,D,391.4910561513923,115.36565321725958,93.76324757214805,600.6199569408,2900.0
5,E,567.678719210054,168.3887273118648,129.53190318688098,865.5993497087999,3500.0
5,F,345.027220243823,101.16656799612798,74.93235087044886,521.1261391103999,2700.0
5,G,626.407940229608,184.84465892797476,142.67321480721697,953.9258139647998,3600.0
5,H,413.53537377189417,122.69383530395658,90.88868714174912,627.1178962175999,3000.0
5,I,533.4246424460185,159.45273328108792,119.72609542809333,812.6034711551998,3300.0
5,J,479.6127006649489,140.374067866874,104.29023836737713,724.2770068992,3200.0
