community,elder_type,service,monthly_demand
A,自理老人,助餐,7297.00836623479
A,自理老人,日间照料,4169.71906641988
A,自理老人,上门护理,0.0
A,自理老人,康复理疗,1042.42976660497
A,自理老人,助浴,0.0
A,自理老人,紧急救助,78.18223249537274
A,半失能老人,助餐,3010.6872568891636
A,半失能老人,日间照料,2107.4810798224144
A,半失能老人,上门护理,903.206177066749
A,半失能老人,康复理疗,602.1374513778327
A,半失能老人,助浴,301.06872568891635
A,半失能老人,紧急救助,150.53436284445817
A,失能老人,助餐,2515.8382860920497
A,失能老人,日间照料,2058.413143166222
A,失能老人,上门护理,1372.2754287774815
A,失能老人,康复理疗,686.1377143887407
A,失能老人,助浴,457.4251429258272
A,失能老人,紧急救助,343.06885719437037
B,自理老人,助餐,6097.336915935228
B,自理老人,日间照料,3484.192523391559
B,自理老人,上门护理,0.0
B,自理老人,康复理疗,871.0481308478898
B,自理老人,助浴,0.0
B,自理老人,紧急救助,65.32860981359173
B,半失能老人,助餐,2587.4596587951
B,半失能老人,日间照料,1811.2217611565698
B,半失能老人,上门护理,776.23789763853
B,半失能老人,康复理疗,517.49193175902
B,半失能老人,助浴,258.74596587951
B,半失能老人,紧急救助,129.372982939755
B,失能老人,助餐,2340.4497596017995
B,失能老人,日间照料,1914.9134396741995
B,失能老人,上门护理,1276.6089597827997
B,失能老人,康复理疗,638.3044798913999
B,失能老人,助浴,425.5363199275999
B,失能老人,紧急救助,319.15223994569993
C,自理老人,助餐,9352.141720140018
C,自理老人,日间照料,5344.080982937154
C,自理老人,上门护理,0.0
C,自理老人,康复理疗,1336.0202457342884
C,自理老人,助浴,0.0
C,自理老人,紧急救助,100.20151843007163
C,半失能老人,助餐,3973.204663036679
C,半失能老人,日间照料,2781.2432641256755
C,半失能老人,上门护理,1191.9613989110037
C,半失能老人,康复理疗,794.6409326073358
C,半失能老人,助浴,397.3204663036679
C,半失能老人,紧急救助,198.66023315183395
C,失能老人,助餐,3279.847624350476
C,失能老人,日间照料,2683.5116926503897
C,失能老人,上门护理,1789.0077951002597
C,失能老人,康复理疗,894.5038975501299
C,失能老人,助浴,596.3359317000866
C,失能老人,紧急救助,447.25194877506493
D,自理老人,助餐,5480.874786119492
D,自理老人,日间照料,3131.9284492111383
D,自理老人,上门护理,0.0
D,自理老人,康复理疗,782.9821123027846
D,自理老人,助浴,0.0
D,自理老人,紧急救助,58.72365842270884
D,半失能老人,助餐,2307.3130643451914
D,半失能老人,日间照料,1615.119145041634
D,半失能老人,上门护理,692.1939193035574
D,半失能老人,康复理疗,461.4626128690383
D,半失能老人,助浴,230.73130643451915
D,半失能老人,紧急救助,115.36565321725958
D,失能老人,助餐,2062.791446587257
D,失能老人,日间照料,1687.738456298665
D,失能老人,上门护理,1125.1589708657766
D,失能老人,康复理疗,562.5794854328883
D,失能老人,助浴,375.0529902885922
D,失能老人,紧急救助,281.28974271644415
E,自理老人,助餐,7947.5020689407565
E,自理老人,日间照料,4541.429753680432
E,自理老人,上门护理,0.0
E,自理老人,康复理疗,1135.357438420108
E,自理老人,助浴,0.0
E,自理老人,紧急救助,85.1518078815081
E,半失能老人,助餐,3367.7745462372964
E,半失能老人,日间照料,2357.4421823661073
E,半失能老人,上门护理,1010.3323638711888
E,半失能老人,康复理疗,673.5549092474592
E,半失能老人,助浴,336.7774546237296
E,半失能老人,紧急救助,168.3887273118648
E,失能老人,助餐,2849.7018701113816
E,失能老人,日间照料,2331.5742573638577
E,失能老人,上门护理,1554.3828382425718
E,失能老人,康复理疗,777.1914191212859
E,失能老人,助浴,518.1276127475239
E,失能老人,紧急救助,388.59570956064294
F,自理老人,助餐,4830.381083413522
F,自理老人,日间照料,2760.217761950584
F,自理老人,上门护理,0.0
F,自理老人,康复理疗,690.054440487646
F,自理老人,助浴,0.0
F,自理老人,紧急救助,51.754083036573455
F,半失能老人,助餐,2023.3313599225596
F,半失能老人,日间照料,1416.3319519457918
F,半失能老人,上门护理,606.9994079767679
F,半失能老人,康复理疗,404.6662719845119
F,半失能老人,助浴,202.33313599225596
F,半失能老人,紧急救助,101.16656799612798
F,失能老人,助餐,1648.5117191498748
F,失能老人,日间照料,1348.7823156680795
F,失能老人,上门护理,899.1882104453863
F,失能老人,康复理疗,449.59410522269314
F,失能老人,助浴,299.72940348179543
F,失能老人,紧急救助,224.79705261134657
G,自理老人,助餐,8769.711163214512
G,自理老人,日间照料,5011.263521836864
G,自理老人,上门护理,0.0
G,自理老人,康复理疗,1252.815880459216
G,自理老人,助浴,0.0
G,自理老人,紧急救助,93.9611910344412
G,半失能老人,助餐,3696.893178559495
G,半失能老人,日间照料,2587.825224991647
G,半失能老人,上门护理,1109.0679535678487
G,半失能老人,康复理疗,739.378635711899
G,半失能老人,助浴,369.6893178559495
G,半失能老人,紧急救助,184.84465892797476
G,失能老人,助餐,3138.810725758773
G,失能老人,日间照料,2568.1178665299053
G,失能老人,上门护理,1712.0785776866037
G,失能老人,康复理疗,856.0392888433018
G,失能老人,助浴,570.6928592288679
G,失能老人,紧急救助,428.0196444216509
H,自理老人,助餐,5789.495232806518
H,自理老人,日间照料,3308.2829901751534
H,自理老人,上门护理,0.0
H,自理老人,康复理疗,827.0707475437883
H,自理老人,助浴,0.0
H,自理老人,紧急救助,62.030306065784124
H,半失能老人,助餐,2453.8767060791315
H,半失能老人,日间照料,1717.713694255392
H,半失能老人,上门护理,736.1630118237395
H,半失能老人,康复理疗,490.7753412158263
H,半失能老人,助浴,245.38767060791315
H,半失能老人,紧急救助,122.69383530395658
H,失能老人,助餐,1999.5511171184805
H,失能老人,日间照料,1635.996368551484
H,失能老人,上门护理,1090.6642457009893
H,失能老人,康复理疗,545.3321228504947
H,失能老人,助浴,363.55474856699647
H,失能老人,紧急救助,272.66606142524734
I,自理老人,助餐,7467.94499424426
I,自理老人,日间照料,4267.397139568148
I,自理老人,上门护理,0.0
I,自理老人,康复理疗,1066.849284892037
I,自理老人,助浴,0.0
I,自理老人,紧急救助,80.01369636690278
I,半失能老人,助餐,3189.0546656217584
I,半失能老人,日间照料,2232.338265935231
I,半失能老人,上门护理,956.7163996865274
I,半失能老人,康复理疗,637.8109331243517
I,半失能老人,助浴,318.90546656217583
I,半失能老人,紧急救助,159.45273328108792
I,失能老人,助餐,2633.9740994180534
I,失能老人,日间照料,2155.06971770568
I,失能老人,上门护理,1436.71314513712
I,失能老人,康复理疗,718.35657256856
I,失能老人,助浴,478.9043817123733
I,失能老人,紧急救助,359.17828628428
J,自理老人,助餐,6714.577809309284
J,自理老人,日间照料,3836.901605319591
J,自理老人,上门护理,0.0
J,自理老人,康复理疗,959.2254013298977
J,自理老人,助浴,0.0
J,自理老人,紧急救助,71.94190509974233
J,半失能老人,助餐,2807.4813573374795
J,半失能老人,日间照料,1965.236950136236
J,半失能老人,上门护理,842.2444072012439
J,半失能老人,康复理疗,561.496271467496
J,半失能老人,助浴,280.748135733748
J,半失能老人,紧急救助,140.374067866874
J,失能老人,助餐,2294.3852440822966
J,失能老人,日间照料,1877.2242906127883
J,失能老人,上门护理,1251.4828604085255
J,失能老人,康复理疗,625.7414302042628
J,失能老人,助浴,417.1609534695085
J,失能老人,紧急救助,312.8707151021314
