community,station,distance_m,daily_demand,distance_score,response_score,price_score,satisfaction,effective_daily_demand,covered
A,A,0.0,903.1871019329745,1.0,0.6,1.0,0.88,794.8046497010176,1
B,A,600.0,777.3237723497155,0.75,0.6,1.0000000000000002,0.8300000000000001,645.1787310502639,1
C,,,1153.814830259393,0.0,0.0,0.0,0.0,0.0,0
D,A,900.0,680.6136129500538,0.6,0.6,1.0,0.8,544.4908903600431,1
E,,,964.7349775281957,0.0,0.0,0.0,0.0,0.0,0
F,,,516.7601438764485,0.0,0.0,0.0,0.0,0.0,0
G,,,1070.2186577446944,0.0,0.0,0.0,0.0,0.0,0
H,A,700.0,710.3514139395078,0.6,0.6,0.9999999999999999,0.7999999999999999,568.2811311516061,1
I,,,891.8092274992009,0.0,0.0,0.0,0.0,0.0,0
J,A,500.0,831.9697801560368,0.9,0.6,1.0,0.86,715.4940109341916,1
